NO,lon,lat,prob_dem,prob_s2
1707,-57.64340752,-3.360550521,0.913942,0.924591899
1710,-52.96049448,-11.3958106,0.919754,0.910096824
1720,-54.97081829,-10.52030055,0.9082452,0.86865443
1724,-47.81047292,-4.395344396,0.9196777,0.803506672
1731,-47.72218136,-4.612788027,0.91960627,0.871265709
1739,-51.23705997,-1.764970777,0.91955066,0.917861283
1742,-67.35739429,-2.58673629,0.9083566,0.853326678
1745,-47.88521275,-3.570331639,0.9119868,0.860841513
1766,-49.12273189,-0.664964415,0.9107694,0.873829424
1776,-56.18074117,-4.411729666,0.9088924,0.823097646
1790,-50.60459278,-2.020917437,0.91072667,0.819990933
1809,-47.71355753,-4.621411853,0.9189778,0.871265709
1827,-47.75729266,-3.521463287,0.918491,0.830895662
1840,-47.39890391,-2.335062197,0.9135547,0.948146999
1849,-51.20687658,-1.777906517,0.9140092,0.917861283
1878,-59.11887894,-3.168461313,0.908676,0.867071211
1921,-63.6836441,-15.80641887,0.9125836,0.826452672
1934,-56.59985915,-2.149795736,0.9086834,0.847315073
1982,-50.78425584,-1.37987965,0.91763496,0.854367495
1985,-51.22412423,-1.773594604,0.9104551,0.917861283
1991,-56.29453462,-4.432098324,0.91249716,0.861225426
1993,-47.85215475,-4.115070027,0.91028917,0.88111037
1997,-55.32928201,-11.83757902,0.91253096,0.931546509
2010,-61.76840597,-3.968464973,0.91482276,0.892161071
2018,-62.38707571,-1.154941503,0.90998334,0.872187614
2068,-52.21149916,-1.63140793,0.91496617,0.846899748
2106,-72.04092571,-0.789147519,0.916775,0.838266373
2137,-52.65466803,-1.531754821,0.9125876,0.894208908
2154,-63.98451984,-17.10238839,0.91648126,0.857641876
2201,-51.74389611,-10.32118597,0.91039824,0.866919577
2224,-52.33826941,-2.060299579,0.9099795,0.844621539
2236,-62.38794836,-9.434437566,0.9094887,0.921006858
2239,-55.68237981,-2.079367818,0.9141591,0.887169182
2250,-66.81936332,-2.762566535,0.91332114,0.865590155
2254,-60.76919192,-5.499481678,0.91292405,0.867480159
2295,-63.9404425,-17.26240828,0.91184235,0.887865543
2301,-65.12774052,-2.444414967,0.9074044,0.895012259
2308,-49.20178363,-1.323824776,0.9104356,0.881472707
2321,-70.00504598,2.256802198,0.9154656,0.880234659
2324,-54.62787744,-2.252323454,0.9092762,0.823708355
2338,-75.44637907,-4.885465215,0.9153624,0.828716815
2349,-61.99720688,-1.309451732,0.9063943,0.911380708
2352,-47.69764452,-4.420497224,0.9152728,0.84402436
2358,-61.88339033,-12.74064847,0.90706986,0.921101928
2383,-50.73854955,-0.696585112,0.91508317,0.831213653
2390,-60.55388371,-4.146690725,0.90792155,0.88100636
2434,-64.64740465,-2.671537253,0.9148061,0.89148128
2441,-48.56936967,-4.153877247,0.914772,0.878952563
2447,-54.12482088,-12.08576997,0.91004896,0.985122859
2468,-53.75687094,-2.381680855,0.91460395,0.860712051
2522,-51.90347857,-10.12206723,0.91094935,0.901927233
2560,-59.81654652,-1.981152014,0.9071928,0.867024541
2567,-55.60586046,-1.938991083,0.9140405,0.844264448
2581,-56.20412133,-10.85538413,0.9139669,0.846187234
2584,-57.97935203,-3.547654169,0.9104221,0.848664463
2588,-55.47301246,-11.63823595,0.9086947,0.908831775
2589,-61.93489973,-6.032721631,0.912645,0.905080378
2622,-49.78928183,-2.55415739,0.9076155,0.884690702
2624,-64.71313737,-14.62696684,0.9137202,0.851390183
2635,-61.71506601,-5.388362073,0.9122586,0.992848992
2642,-48.79502647,-3.423726584,0.91365457,0.866834402
2649,-66.44048987,-11.45136426,0.9086518,0.924840152
2651,-52.16263081,-1.571759795,0.9124355,0.929567337
2653,-59.79843649,-2.697312913,0.91357046,0.865283191
2672,-63.82306263,-15.74605209,0.91347307,0.875277936
2691,-63.44359509,-12.12429399,0.91332144,0.92844528
2714,-53.95809357,-3.193757872,0.91317457,0.862818182
2730,-47.91642279,-4.85569248,0.9130544,0.896736026
2738,-62.91104505,-4.018195707,0.9094333,0.839584708
2786,-64.10918204,-15.62531851,0.9127414,0.892236173
2799,-66.8933845,-2.739569664,0.9120059,0.871285796
2803,-60.03980781,-1.893476442,0.9126386,0.861213267
2811,-68.2821286,-2.97918885,0.9119906,0.868200481
2834,-62.85930209,-9.090470077,0.91243196,0.890308022
2860,-62.93438071,-11.9054548,0.91230506,0.968743742
2863,-58.72036233,3.697473195,0.9122858,0.867075622
2884,-48.95456727,-2.023792046,0.9096956,0.840128958
2891,-60.73095962,-5.269800426,0.91116136,0.883601964
2896,-66.14239292,-2.880425501,0.91024685,0.883487165
2903,-66.60233035,-10.90233607,0.9065405,0.901149392
2926,-47.34786621,-4.123899183,0.91187286,0.917215705
2949,-63.97551273,-5.533402063,0.90566254,0.851167321
2964,-65.52103515,-0.276803762,0.9117393,0.907851636
2975,-57.63047178,-3.364862434,0.910993,0.924591899
2991,-56.58021599,-2.339040823,0.90818906,0.827590108
2999,-68.53885855,-11.03696359,0.91158295,0.82796526
3002,-66.62388992,-2.543617157,0.90493506,0.840410948
3007,-63.85468333,-15.57070094,0.907506,0.868085802
3020,-63.04500182,-12.14704173,0.9115095,0.859565437
3028,-54.90815181,-11.62673752,0.91148096,0.869121373
3072,-62.03878843,-6.216108308,0.9112432,0.959007323
3075,-60.82138204,-5.581599672,0.90582484,0.869753659
3078,-59.0823644,-3.85779253,0.9064968,0.924900889
3119,-56.58452791,-2.308857429,0.9110205,0.827590108
3139,-59.44058874,-4.217323972,0.90892404,0.86381495
3151,-62.87204619,6.87328722,0.90540826,0.855434656
3159,-58.84830325,-3.117643227,0.90930223,0.855621636
3174,-66.96884299,-1.890122732,0.905403,0.867256403
3177,-48.43483797,-2.582616018,0.90664876,0.887116015
3184,-63.7809017,-13.79562994,0.90606296,0.874164343
3206,-54.21441286,-2.869885268,0.91019064,0.886807203
3226,-52.55389702,-0.611241168,0.9104908,0.89696157
3252,-64.49877824,-17.12447268,0.907269,0.891655445
3263,-51.72664846,-10.32118597,0.90535295,0.866919577
3287,-58.54761202,-2.279632239,0.9084775,0.855546772
3317,-57.92505386,-4.689991809,0.9100295,0.84876883
3334,-54.9038399,-11.59655412,0.90671754,0.869121373
3340,-55.59230873,-11.68135509,0.9075614,0.826788783
3356,-61.44945505,-5.770975423,0.90984255,0.855994642
3357,-49.2894592,-1.295078687,0.90983987,0.821586609
3361,-62.18261915,-1.208361319,0.90660524,0.903628051
3365,-46.97683634,-2.182853739,0.9087632,0.86781162
3368,-52.15831889,-2.778376884,0.9097863,0.877873659
3376,-65.24982686,-2.913483503,0.90544105,0.832209885
3392,-48.42621415,-2.595551758,0.90703773,0.887116015
3396,-60.85715495,-4.529876093,0.9096641,0.855252981
3407,-57.97504011,-3.560589909,0.90546006,0.848664463
3411,-55.05788511,-10.80164021,0.9062317,0.879217505
3424,-49.34407677,-1.322387472,0.9095326,0.815859139
3465,-70.37094263,-2.537867939,0.9079653,0.8205235
3477,-60.22186638,-4.953018524,0.909261,0.888286948
3478,-61.7770298,-3.942593493,0.9051805,0.892161071
3479,-62.95440809,-5.133204237,0.90925795,0.899046957
3484,-67.58500916,-1.713896707,0.9055145,0.913501561
3487,-49.39246602,-1.396648202,0.9040481,0.832670391
3491,-55.82020561,-2.173720366,0.9091661,0.949844003
3500,-62.90419732,-11.90114289,0.9067257,0.968743742
3515,-65.2950221,-13.69054701,0.906698,0.915408969
3525,-64.47721867,-17.1287846,0.9051534,0.891655445
3534,-50.65633574,-2.22148674,0.9050786,0.910477102
3596,-60.8399073,-4.534188006,0.9087494,0.855252981
3598,-63.42203553,-12.12429399,0.9039593,0.92844528
3599,-74.6373713,1.206909042,0.9087257,0.866135299
3606,-50.80150349,-1.4603687,0.9086988,0.82913065
3645,-74.33678003,-5.218919848,0.90850526,0.832132339
3657,-64.45433301,-14.85927135,0.90845674,0.935827076
3683,-58.72898615,3.675913628,0.90834737,0.867075622
3719,-58.92829237,-4.038892891,0.90817046,0.841466546
3722,-63.63477575,-16.00791527,0.9065369,0.8838166
3732,-58.93260428,-4.051828631,0.90555096,0.841466546
3750,-52.51045849,-11.70578926,0.9054193,0.847054362
3756,-57.97741281,-2.454572724,0.9068605,0.841024399
3778,-46.55024437,-3.118443118,0.90785974,0.877160966
3797,-54.14158944,-3.319282461,0.9077728,0.866008818
3800,-52.30204934,-3.450556268,0.9077585,0.873270452
3812,-66.29977776,-2.363355223,0.9077005,0.852792501
3814,-62.43271013,-9.838371449,0.9076995,0.874009192
3846,-55.96025867,-4.6224385,0.9059626,0.865869522
3850,-48.88509755,-1.573915752,0.90757585,0.894673109
3894,-48.03900433,-3.474032241,0.9074039,0.846240103
3913,-60.15972007,-1.977456088,0.9041791,0.905124903
3920,-51.11483586,-0.219974955,0.9041533,0.956756532
3953,-55.23441992,-12.22034426,0.9071788,0.862720549
3961,-57.90780621,-4.668432242,0.90714556,0.84876883
3994,-47.72590192,-2.777399517,0.9069806,0.887283146
4021,-59.91476233,-4.69047091,0.9068001,0.856599867
4072,-59.21942637,-3.660881819,0.9050336,0.873710215
4078,-57.37514118,-3.720961146,0.90657705,0.888166845
4081,-71.73644263,-3.447907118,0.9065533,0.922062874
4126,-61.55376851,-3.059130355,0.90627694,0.851031244
4149,-54.8084987,5.790188481,0.90617555,0.878149271
4167,-63.96631398,-3.561707812,0.9031081,0.876057148
4169,-49.7275496,-1.960263189,0.9060773,0.828188539
4183,-52.5147704,-1.526484704,0.9031476,0.828959048
4184,-60.31433297,-4.16441748,0.90603995,0.872762024
4187,-64.64740465,-2.684472993,0.90603346,0.89148128
4194,-52.22874681,-3.021568798,0.90439594,0.828872502
4200,-60.21079525,-5.91698366,0.90598875,0.896218419
4278,-55.3896488,-11.5412179,0.9056566,0.852775216
4303,-54.85497154,-10.98426242,0.9055329,0.884656072
4322,-62.4008841,-9.438749479,0.90333897,0.921006858
4327,-71.42176865,-3.910151478,0.9054746,0.898544252
4372,-54.84634772,-10.99288625,0.9052441,0.884656072
4373,-61.55376851,-3.054818441,0.9052438,0.851031244
4392,-49.9201484,-2.46389467,0.904303,0.884828329
4411,-48.04762816,-3.486967981,0.90504956,0.846240103
4420,-49.39677794,-1.405272029,0.9050254,0.832670391
4431,-50.676458,-0.465754017,0.9049979,0.810622931
4459,-73.7471658,-4.871943906,0.9048805,0.875436544
4460,-51.71371272,-10.33412171,0.90404886,0.866919577
4474,-56.82599506,-12.22130246,0.9031487,0.851419866
4497,-66.90632024,-2.743881577,0.9047854,0.871285796
4534,-61.87045459,-12.7492723,0.90465254,0.921101928
4544,-61.59592944,-5.46469891,0.90461373,0.899492264
4572,-47.70493371,-4.586916546,0.90451056,0.871265709
4606,-52.91434104,-5.253415155,0.90331745,0.916178167
4618,-53.83438956,-2.191285925,0.9025082,0.893074036
4625,-50.809306,-2.053256787,0.9042742,0.911591589
4682,-66.310845,-12.65421856,0.90404487,0.893770099
4687,-49.22765511,-1.32813669,0.90403533,0.881472707
4746,-46.69603931,-2.962613183,0.903843,0.874599576
4777,-56.18687367,-10.86831987,0.90370154,0.846187234
4784,-55.36521463,-11.718725,0.90368074,0.88483274
4786,-46.75549145,-2.761129231,0.90366644,0.811459541
4789,-64.10055821,-15.61669468,0.90365124,0.892236173
4800,-63.95337824,-3.591891206,0.90360665,0.876057148
4823,-60.1313162,-6.095675565,0.90353274,0.848427653
4826,-47.83921901,-4.145253421,0.90351987,0.88111037
4856,-66.45342561,-11.45567617,0.9033823,0.924840152
4858,-47.71992274,-0.833703957,0.9033792,0.848133445
4918,-56.75005747,-12.31808096,0.9031716,0.857898414
4936,-62.63879747,-3.855028483,0.90307117,0.890087068
4937,-57.9731009,-2.476132291,0.9030561,0.841024399
4952,-67.70905478,-1.813370673,0.9022902,0.880936623
4957,-47.10019088,-4.799396042,0.90297866,0.870470345
4988,-58.83989814,-3.655851254,0.902872,0.826043725
5043,-74.03237231,-5.224401661,0.902749,0.914166152
5088,-47.36811483,-2.136344041,0.90256494,0.927651107
5089,-66.77672329,-12.20668987,0.9025592,0.871668637
5104,-64.01075985,-16.09395347,0.90250754,0.930939078
5139,-50.8058154,-1.451744873,0.90236455,0.82913065
5186,-61.9893017,-8.763312633,0.9022359,0.848761797
5212,-47.30298467,-4.314975122,0.90209365,0.91079998
5258,-68.27966464,3.686304142,0.9019279,0.828021646
5293,-48.12035576,-4.150140256,0.9018412,0.830840349
5341,-48.2180514,-3.73582698,0.90167624,0.938894808
5350,-49.84521693,-2.151712142,0.90164685,0.850833058
5399,-48.01169554,-4.031706369,0.901537,0.80279398
5405,-52.39834874,-1.506362442,0.90151304,0.829078555
5425,-49.02499518,-1.865688556,0.9014494,0.812199712
5431,-64.22746114,-7.040205716,0.90143037,0.883966446
5432,-52.49321083,-1.496301311,0.9014291,0.828959048
5439,-54.73410731,-11.44223989,0.9013901,0.91185081
5469,-66.88476067,-2.735257751,0.90133214,0.871285796
5496,-58.22311487,-2.814848485,0.9012594,0.880710185
5508,-49.77634609,-2.562781216,0.90123457,0.884690702
5509,-62.39534021,-6.784144399,0.90123266,0.84943682
5513,-61.48381969,-13.30742553,0.90100616,0.874735355
5519,-60.48920501,0.451560635,0.9011994,0.834411442
5527,-52.17556655,-1.593319362,0.90118307,0.929567337
5560,-57.48811331,-3.6867533,0.90107036,0.859407961
5564,-64.117004,-3.648475613,0.9010565,0.895530403
5569,-57.93367769,-4.694303722,0.9010308,0.84876883
5580,-64.06475892,-12.16727509,0.90098757,0.950972378
5598,-60.0354959,-1.915036009,0.9009065,0.861213267
5609,-76.46470927,-3.188008654,0.9008715,0.88236928
5645,-61.83404288,-5.980691209,0.90075785,0.841718793
5655,-63.40254842,-6.195807776,0.9007318,0.907264531
5675,-65.04991655,-3.813673532,0.9006717,0.920294106
5683,-74.34109194,-5.249103242,0.90064245,0.832132339
5717,-48.76915499,-3.406478931,0.9005185,0.866834402
5720,-56.28356763,-1.524624663,0.9005501,0.845016837
5729,-54.67722489,-2.3639541,0.9005355,0.881498814
5737,-50.4042848,-0.295106779,0.90049165,0.861638367
5738,-54.10757323,-12.07283423,0.9003478,0.985122859
5756,-66.20132241,-1.641948162,0.9004071,0.884669721
5789,-48.17185233,-1.813945595,0.9002952,0.859986901
5827,-47.80999382,-3.978047002,0.90018946,0.8384161
5833,-61.91765207,-6.037033544,0.9001712,0.905080378
5837,-50.69226835,-1.940428387,0.9001531,0.873292983
