NO,lon,lat,prob_dem,prob_s2
0,-64.593332,-14.984132,,
1,-64.588959,-14.799918,,
2,-64.486085,-14.883525,,
3,-64.469916,-15.201535,,
4,-64.555,-14.869,,
5,-64.538,-14.858,,
6,-64.55,-14.86,,
7,-64.566,-14.882,,
8,-64.529,-14.864,,
9,-64.564,-14.871,,
10,-63.88103391,-0.282258148,0.9404406,0.900988638
11,-65.49085176,-0.281115676,0.9368248,0.907851636
25,-51.62939086,-0.74746569,0.929726,0.87364763
87,-64.57828627,-0.415608061,0.91854244,0.855898023
111,-55.34652967,-11.84189094,0.9203174,0.931546509
117,-58.92081839,-4.323191712,0.9191815,0.856532931
149,-62.65604512,-3.859340396,0.92194504,0.890087068
172,-47.65596269,-4.514640666,0.9240198,0.8736763
179,-48.76675949,-2.251844352,0.92441434,0.829890609
190,-65.72270002,-0.28609096,0.9337803,0.86260736
192,-65.33154788,-1.862403288,0.9195023,0.877007127
199,-64.71313737,-14.60540727,0.91867304,0.851390183
205,-66.80786489,-2.258072672,0.91889095,0.862188756
222,-52.1797478,-2.367177146,0.9232607,0.897922099
224,-55.35227889,-11.70578926,0.9141609,0.88483274
230,-49.36994825,-1.326699385,0.9134205,0.815859139
239,-52.30808602,-2.047363839,0.91466284,0.844621539
253,-50.73406074,-0.913308512,0.92523503,0.902523756
274,-49.21723899,-1.267919786,0.9222455,0.988667667
298,-59.32882121,-4.359411784,0.91848564,0.812937021
299,-47.21111696,-4.783416599,0.93773365,0.828617573
308,-56.56296834,-2.326105083,0.93815714,0.827590108
330,-62.94122844,-4.02250762,0.91940796,0.839584708
342,-66.77672329,-12.17650647,0.92808884,0.871668637
362,-48.6100933,-2.488041385,0.9190431,0.893795729
371,-65.28622205,-2.348408083,0.9224928,0.934209168
374,-61.90902825,-6.019785891,0.9188638,0.905080378
447,-71.53834826,-2.281788195,0.92249393,0.863225222
497,-52.20130737,-2.380112886,0.91813564,0.897922099
543,-63.78521362,-13.81287759,0.9175787,0.874164343
555,-61.97995922,-1.318075559,0.9110106,0.911380708
594,-74.42637201,-4.666036735,0.9191326,0.872838914
618,-64.01938368,-16.09826538,0.9193464,0.930939078
622,-64.12562783,-3.639851786,0.918999,0.895530403
638,-48.4664785,-2.743881577,0.9174896,0.937786281
660,-48.00307171,-3.600515032,0.91236156,0.839671433
669,-74.34492475,-8.154374646,0.9202414,0.861681223
684,-48.58853373,-2.457857991,0.9155234,0.893795729
685,-47.40084115,-4.85815643,0.9217126,0.869361043
698,-67.8776985,-14.47260034,0.914594,0.862963796
705,-53.75687094,-2.411864248,0.91535234,0.860712051
723,-47.47989289,-4.313418042,0.91510093,0.832951009
726,-67.99824044,-13.6217161,0.9147156,0.821780026
730,-64.52398811,-6.639455751,0.9116675,0.868334711
743,-65.98894356,-0.296836522,0.90962505,0.915745497
762,-63.29275718,-3.889053902,0.9116588,0.894833505
766,-55.32928201,-11.85482668,0.9115951,0.931546509
769,-47.52239604,-3.976267482,0.91383415,0.877283275
804,-63.31431675,-3.876118161,0.9112914,0.894833505
805,-48.57990991,-2.492353298,0.916223,0.893795729
816,-58.24036252,-2.806224658,0.916889,0.880710185
851,-46.84172972,-2.682077486,0.9285603,0.836854756
858,-52.26467942,-12.39857001,0.91701293,0.86004436
888,-48.19567052,-4.1064462,0.9152872,0.829998732
892,-47.41377689,-4.84522069,0.9216651,0.869361043
910,-60.34020445,-4.173041307,0.91268224,0.872762024
911,-61.69781835,-5.375426333,0.9107284,0.992848992
921,-62.09954295,-1.191305305,0.9118886,0.855273843
927,-61.81679522,-5.985003122,0.9148177,0.841718793
935,-53.75255903,-2.390304682,0.91619885,0.860712051
938,-59.81654652,-1.959592447,0.91296214,0.867024541
942,-48.58853373,-2.496665211,0.9158991,0.893795729
943,-68.01548809,-13.61309228,0.91690177,0.821780026
958,-63.26657853,-5.775249402,0.9119008,0.915887892
964,-74.75934754,-6.373075325,0.9176734,0.847065151
1046,-50.66352226,-0.48300167,0.91776717,0.810622931
1062,-50.63908809,-2.230110567,0.9131402,0.910477102
1077,-62.19801884,-6.161380912,0.91774786,0.854488552
1082,-48.68387493,-2.332525042,0.91521084,0.9125126
1083,-48.44491893,-2.748193491,0.91543055,0.937786281
1097,-55.00071422,-4.463472627,0.92548704,0.934329271
1153,-49.29377112,-1.277831034,0.91291666,0.821586609
1159,-54.75744017,-2.213105575,0.9167067,0.847670496
1177,-56.28892229,-10.99336535,0.9154907,0.857390702
1179,-54.64081318,-2.243699627,0.91165864,0.823708355
1192,-59.37299437,-2.624010386,0.9161684,0.836034238
1212,-52.48458701,-1.513548964,0.9137245,0.828959048
1226,-67.69611904,-5.536564133,0.9154506,0.84281683
1241,-60.31433297,-4.168729393,0.9129605,0.872762024
1242,-47.27819117,-4.891533833,0.9240313,0.875373483
1259,-60.17265581,-1.968832261,0.91320056,0.905124903
1274,-68.56041812,-11.03265168,0.9236851,0.82796526
1282,-48.87216181,-1.560980011,0.917275,0.894673109
1292,-74.95865376,-6.103341189,0.9142092,0.830332756
1306,-56.30616994,-11.00630109,0.9162111,0.857390702
1318,-48.87695282,-3.551646681,0.91286796,0.86881727
1341,-52.09076558,-2.252323454,0.91490984,0.896405339
1347,-74.11112323,-4.537637537,0.91199255,0.806250095
1353,-65.25413877,-2.930731156,0.9219626,0.832209885
1378,-57.10147841,-3.194716075,0.9180289,0.820212126
1468,-59.81654652,-1.968216273,0.91437197,0.867024541
1493,-52.7720479,-5.389959078,0.9156875,0.880514443
1504,-62.5869808,-3.897557953,0.91586983,0.836363733
1506,-47.68039687,-4.411873397,0.92147255,0.84402436
1513,-62.55679741,-3.880310299,0.91270983,0.836363733
1522,-63.24109918,-7.709501063,0.9113197,0.982118487
1531,-57.49673713,-3.673817559,0.914135,0.859407961
1534,-47.50920141,-3.273059583,0.92117697,0.898121059
1556,-55.5836849,-11.65548361,0.91965973,0.826788783
1583,-62.19370693,-6.165692825,0.9154576,0.854488552
1602,-48.44491893,-2.730945837,0.91464263,0.937786281
1611,-63.80246127,-13.80425377,0.9100281,0.874164343
1613,-51.66589839,-1.329286533,0.92052865,0.855443239
1679,-47.07000748,-4.777836475,0.92001635,0.870470345
1680,-60.57889281,-5.323555613,0.91064095,0.899269283
1682,-50.29269771,-0.942939096,0.91658574,0.843039393
1693,-47.74435692,-3.49990372,0.9126852,0.830895662
1704,-58.90357073,-4.353375106,0.9198161,0.856532931
