NO,lon,lat,prob_dem,prob_s2
0,-64.593332,-14.984132,,
1,-64.588959,-14.799918,,
2,-64.486085,-14.883525,,
3,-64.469916,-15.201535,,
4,-64.555,-14.869,,
5,-64.538,-14.858,,
6,-64.55,-14.86,,
7,-64.566,-14.882,,
8,-64.529,-14.864,,
9,-64.564,-14.871,,
172,-47.65596269,-4.514640666,0.9240198,0.8736763
199,-64.71313737,-14.60540727,0.91867304,0.851390183
253,-50.73406074,-0.913308512,0.92523503,0.902523756
298,-59.32882121,-4.359411784,0.91848564,0.812937021
308,-56.56296834,-2.326105083,0.93815714,0.827590108
371,-65.28622205,-2.348408083,0.9224928,0.934209168
374,-61.90902825,-6.019785891,0.9188638,0.905080378
543,-63.78521362,-13.81287759,0.9175787,0.874164343
555,-61.97995922,-1.318075559,0.9110106,0.911380708
594,-74.42637201,-4.666036735,0.9191326,0.872838914
705,-53.75687094,-2.411864248,0.91535234,0.860712051
927,-61.81679522,-5.985003122,0.9148177,0.841718793
958,-63.26657853,-5.775249402,0.9119008,0.915887892
1046,-50.66352226,-0.48300167,0.91776717,0.810622931
1083,-48.44491893,-2.748193491,0.91543055,0.937786281
1159,-54.75744017,-2.213105575,0.9167067,0.847670496
1306,-56.30616994,-11.00630109,0.9162111,0.857390702
1341,-52.09076558,-2.252323454,0.91490984,0.896405339
1353,-65.25413877,-2.930731156,0.9219626,0.832209885
1378,-57.10147841,-3.194716075,0.9180289,0.820212126
1493,-52.7720479,-5.389959078,0.9156875,0.880514443
1531,-57.49673713,-3.673817559,0.914135,0.859407961
1707,-57.64340752,-3.360550521,0.913942,0.924591899
1720,-54.97081829,-10.52030055,0.9082452,0.86865443
1766,-49.12273189,-0.664964415,0.9107694,0.873829424
1934,-56.59985915,-2.149795736,0.9086834,0.847315073
1985,-51.22412423,-1.773594604,0.9104551,0.917861283
1997,-55.32928201,-11.83757902,0.91253096,0.931546509
2068,-52.21149916,-1.63140793,0.91496617,0.846899748
2154,-63.98451984,-17.10238839,0.91648126,0.857641876
2301,-65.12774052,-2.444414967,0.9074044,0.895012259
2447,-54.12482088,-12.08576997,0.91004896,0.985122859
2651,-52.16263081,-1.571759795,0.9124355,0.929567337
2714,-53.95809357,-3.193757872,0.91317457,0.862818182
2834,-62.85930209,-9.090470077,0.91243196,0.890308022
2949,-63.97551273,-5.533402063,0.90566254,0.851167321
2975,-57.63047178,-3.364862434,0.910993,0.924591899
3002,-66.62388992,-2.543617157,0.90493506,0.840410948
3020,-63.04500182,-12.14704173,0.9115095,0.859565437
3174,-66.96884299,-1.890122732,0.905403,0.867256403
3287,-58.54761202,-2.279632239,0.9084775,0.855546772
3356,-61.44945505,-5.770975423,0.90984255,0.855994642
3392,-48.42621415,-2.595551758,0.90703773,0.887116015
3396,-60.85715495,-4.529876093,0.9096641,0.855252981
3477,-60.22186638,-4.953018524,0.909261,0.888286948
3487,-49.39246602,-1.396648202,0.9040481,0.832670391
3534,-50.65633574,-2.22148674,0.9050786,0.910477102
3657,-64.45433301,-14.85927135,0.90845674,0.935827076
3683,-58.72898615,3.675913628,0.90834737,0.867075622
3719,-58.92829237,-4.038892891,0.90817046,0.841466546
3756,-57.97741281,-2.454572724,0.9068605,0.841024399
3778,-46.55024437,-3.118443118,0.90785974,0.877160966
4187,-64.64740465,-2.684472993,0.90603346,0.89148128
4303,-54.85497154,-10.98426242,0.9055329,0.884656072
4327,-71.42176865,-3.910151478,0.9054746,0.898544252
4459,-73.7471658,-4.871943906,0.9048805,0.875436544
4534,-61.87045459,-12.7492723,0.90465254,0.921101928
4618,-53.83438956,-2.191285925,0.9025082,0.893074036
4784,-55.36521463,-11.718725,0.90368074,0.88483274
4823,-60.1313162,-6.095675565,0.90353274,0.848427653
4858,-47.71992274,-0.833703957,0.9033792,0.848133445
5186,-61.9893017,-8.763312633,0.9022359,0.848761797
5293,-48.12035576,-4.150140256,0.9018412,0.830840349
5341,-48.2180514,-3.73582698,0.90167624,0.938894808
5513,-61.48381969,-13.30742553,0.90100616,0.874735355
5837,-50.69226835,-1.940428387,0.9001531,0.873292983
