NO,lon,lat,prob
1,-76.13294337,-10.23068808,0.994921505
2,-74.9491391,-9.027991607,0.851818323
3,-75.2404328,-9.363589364,0.847221971
4,-74.89452153,-9.303797499,0.840299487
5,-75.09382775,-9.359756552,0.821510434
6,-75.31532393,-9.77208642,0.899674118
7,-74.98622857,-10.05826315,0.874636471
8,-74.81933945,-10.45151827,0.877577126
9,-74.54381924,-8.842972694,0.934958875
10,-73.81161529,-8.942001446,0.87098968
11,-73.6910186,-9.076128473,0.880726039
12,-74.32189944,-9.368188738,0.867429972
13,-74.14073519,-9.36231176,0.923636496
14,-74.50070011,-9.619429557,0.89240253
15,-73.75042718,-9.735372116,0.856965423
16,-73.64830048,-10.74173006,0.979159236
17,-72.73459789,-8.893801013,0.941053331
18,-73.19377514,-9.107046489,0.975782156
19,-72.99224909,-9.089782865,0.918921888
20,-72.01128879,-9.234231963,0.860847771
21,-72.18549009,-9.352090928,0.846948147
22,-72.79030781,-9.536065899,0.828520358
23,-71.95534448,-9.972121958,0.916502714
24,-70.31357266,-8.370912148,0.994787216
25,-71.01475771,-9.32047023,0.911296248
26,-71.10923652,-9.354390616,0.884635925
27,-71.24568462,-9.390419047,0.889093876
28,-70.51553178,-9.439269977,0.915048957
29,-70.72921322,-9.748786958,0.842965961
30,-71.08853933,-10.29496265,0.846076131
31,-74.9175184,-10.86988443,0.886117518
32,-74.76037311,-10.90150513,0.846863508
33,-74.22425855,-10.79849831,0.87578541
34,-73.91459929,-11.39753487,0.943643212
35,-73.71645453,-11.52320464,0.885328412
36,-73.61691757,-11.68627336,0.903501749
37,-73.50321082,-11.81045647,0.896913171
38,-72.48751567,-11.39114685,0.867004454
39,-72.24732613,-11.49718798,0.891062438
40,-72.56608831,-11.50804761,0.892796338
41,-73.24564586,-11.59198619,0.871329486
42,-72.35164249,-11.64257931,0.887314558
43,-72.9167906,-11.74267045,0.904788554
44,-71.72752383,-10.82224806,0.932737052
45,-71.27826352,-10.90725435,0.916728854
46,-71.49717605,-10.88580534,0.944816411
47,-70.77424876,-11.36048435,0.871150076
48,-71.36162718,-11.90570184,0.916554451
49,-73.89703224,-11.8903706,0.858055413
50,-72.77149219,-12.60823884,0.90006417
51,-73.07201948,-12.74125483,0.859911323
52,-72.98463137,-12.73263101,0.879799008
53,-67.91364708,-15.79936718,0.995411456
54,-71.74395017,-12.00535495,0.878437757
55,-71.12686745,-12.09638423,0.838997722
56,-70.94152362,-12.26201646,0.868628085
57,-71.19626152,-12.59767568,0.881195545
58,-71.38941507,-12.6329779,0.847737312
59,-71.31850805,-12.64351813,0.825312793
60,-71.3683346,-12.90894035,0.812179983
61,-78.22638731,-1.704519266,0.992116868
62,-76.36798318,-0.25488199,0.882265627
63,-76.53879783,-0.417177618,0.848340869
64,-76.74207374,-1.43273588,0.867192507
65,-76.42093886,-1.556480949,0.838980258
66,-75.29064264,-0.552284237,0.846488655
67,-75.88166223,-0.589079231,0.871850669
68,-75.81152177,-0.615525633,0.881118536
69,-75.75115499,-0.629898677,0.898720503
70,-75.55362829,-0.765005296,0.884972274
71,-75.42632418,-0.920234177,0.85461086
72,-75.21551953,-0.96622792,0.871900797
73,-75.37573106,-1.541149701,0.879731894
74,-75.52291104,-1.546898919,0.896642864
75,-75.1204224,-1.714277091,0.913783967
76,-75.68935089,-1.591455357,0.865596771
77,-75.84410067,-1.612056721,0.86440587
78,-76.09706626,-1.633137187,0.845303774
79,-75.94605347,-1.646935309,0.84026581
80,-74.89193887,-0.165469675,0.845526874
81,-74.08100721,-0.250450301,0.850517929
82,-74.83122025,-0.221225111,0.863220513
83,-74.68180047,-0.335730366,0.884449184
84,-73.88170099,-0.36958687,0.878039241
85,-74.57543994,-0.391306138,0.814504027
86,-74.37996654,-0.759256078,0.842025697
87,-74.40679622,-1.134871642,0.889430463
88,-73.95780968,-1.219193504,0.92703706
89,-73.47890731,-1.500382521,0.948930979
90,-72.13087253,-0.591378918,0.854948282
91,-73.08830893,-0.590612355,0.865479112
92,-72.03045285,-0.805249821,0.838266373
93,-72.90159624,-1.283256216,0.893208921
94,-72.1090255,-1.288184117,0.853911519
95,-73.39110107,-1.567979385,0.87066704
96,-73.3364835,-1.512403612,0.841542184
97,-73.26461828,-1.673381711,0.838002861
98,-72.64600244,-1.642335935,0.845027208
99,-71.87618218,-0.790876776,0.883396745
100,-70.99751005,-0.881906058,0.834386826
101,-71.23067278,-1.030108118,0.876955748
102,-71.13740769,-1.081212276,0.840609074
103,-70.88827491,-1.251772405,0.886999488
104,-70.81161868,-1.410834098,0.848023713
105,-71.48236076,-1.765369196,0.894701064
106,-77.81341021,-4.234050938,0.963196337
107,-78.15911905,-3.024447899,0.82981205
108,-77.43182825,-2.291201503,0.906429291
109,-77.10868904,-2.300046453,0.880477011
110,-77.3794156,-2.789551285,0.901549518
111,-77.56092662,-2.770660998,0.890852153
112,-76.41902246,-2.899881513,0.917473793
113,-76.4995115,-2.775315126,0.843803287
114,-77.03993798,-2.959290097,0.847891331
115,-77.45292346,-3.033071725,0.873872697
116,-77.53341251,-3.191175215,0.843699992
117,-74.93955707,-1.981923068,0.840610802
118,-75.73842457,-2.020798731,0.91284281
119,-75.81290951,-2.343264712,0.901672482
120,-75.51203979,-2.709286231,0.926657856
121,-75.13055886,-3.214810889,0.912998557
122,-75.68312257,-3.139432255,0.86593765
123,-74.73411835,-1.736623107,0.867216051
124,-74.71635214,-2.116973321,0.911020279
125,-74.24275187,-2.278838228,0.897978485
126,-73.57124323,-2.687160453,0.901352286
127,-72.50166326,-1.742034136,0.885231912
128,-72.22221322,-2.047440196,0.887386441
129,-73.12280424,-2.020251186,0.818231642
130,-72.12167378,-2.388967689,0.886241853
131,-72.02278723,-2.451825804,0.920163274
132,-72.70694415,-2.41503081,0.827646434
133,-72.27903808,-2.444598216,0.835021675
134,-73.22311611,-3.643926119,0.928232729
135,-73.40029982,-3.008350089,0.840362191
136,-71.76817901,-2.160422592,0.849128306
137,-71.52547989,-2.272737669,0.863225222
138,-71.89630444,-2.296213642,0.832187414
139,-70.73496244,-2.323043325,0.859289348
140,-71.24281001,-2.346040196,0.842650056
141,-71.13165847,-2.346040196,0.85371685
142,-70.57493057,-2.443393618,0.869149804
143,-70.69553923,-2.712347503,0.865007579
144,-79.26934405,-4.604124943,0.96162957
145,-77.59687503,-3.348615334,0.8890118
146,-76.45399686,-3.188300606,0.88236928
147,-76.9824458,-3.361735344,0.864719748
148,-76.91249698,-3.447015408,0.866890669
149,-76.4622287,-3.46452439,0.860398829
150,-77.25327723,-3.992356537,0.902029395
151,-77.42705198,-3.622366552,0.825165093
152,-77.64264765,-3.691357166,0.933764517
153,-77.0476036,-4.085178586,0.83340019
154,-77.39503326,-4.579743993,0.910262346
155,-76.99918914,-4.780077466,0.877278209
156,-76.65090757,-4.697470284,0.840307057
157,-76.26735261,-3.283984017,0.920250237
158,-75.47806714,-3.398147057,0.832167745
159,-75.35158435,-3.572060896,0.85511899
160,-76.33470059,-3.653029047,0.855721176
161,-75.06603986,-3.807619126,0.852539778
162,-75.15036172,-3.798675898,0.852399528
163,-75.38799606,-4.06697273,0.844070554
164,-75.08958428,-4.248209977,0.889668822
165,-75.46944331,-4.131172329,0.856504023
166,-75.28374358,-4.240982389,0.906859457
167,-75.19348086,-4.407134784,0.838419855
168,-75.4339898,-4.308439878,0.834667742
169,-75.26151327,-4.431089858,0.861244917
170,-74.74377704,-3.502552852,0.890021086
171,-74.10400408,-3.756514967,0.881658614
172,-73.88389117,-3.866571423,0.903178751
173,-73.67019946,-3.866446981,0.894049227
174,-73.49130172,-3.836730245,0.873520255
175,-73.49521418,-4.450672042,0.900847018
176,-74.11837713,-4.516369922,0.806250095
177,-73.86253693,-4.554532834,0.879862487
178,-74.80749928,-4.565238274,0.897829115
179,-72.79749433,-3.320532616,0.863679588
180,-73.04208973,-3.411336439,0.867550731
181,-72.68394728,-3.395272448,0.831043124
182,-73.15172455,-3.443618143,0.86713326
183,-72.52214786,-3.467958987,0.871111989
184,-72.88845517,-3.49588376,0.815193474
185,-72.13138357,-3.502271779,0.842294931
186,-72.24700673,-3.564874373,0.808383465
187,-72.37622724,-3.879986264,0.946494997
188,-73.3681042,-4.147461779,0.834814787
189,-71.93511166,-4.540804098,0.866319954
190,-71.7491921,-3.440758906,0.922062874
191,-71.8503107,-3.300410354,0.853776336
192,-71.4303019,-3.908184809,0.898544252
193,-71.66250291,-3.852335264,0.860430777
194,-70.86562648,-3.935960251,0.866674304
195,-71.07991551,-4.019062581,0.828673422
196,-70.74071166,-4.122548502,0.856369078
197,-71.22364595,-4.360182838,0.857310534
198,-71.54272754,-4.451691222,0.886996984
199,-71.44042528,-4.542241403,0.881202281
200,-71.78132008,-4.473250789,0.879162014
201,-71.6586701,-4.480916413,0.842346013
202,-79.11732202,-4.689421379,0.859729886
203,-78.30859871,-4.772210115,0.817071915
204,-78.23194247,-5.858812283,0.882858038
205,-77.51329025,-4.837094145,0.879876435
